price,points,variety,winery,province,country,lat,lng
85,97,Cabernet Sauvignon,Abeja,Washington,US,46.08734896,-118.2255228
130,97,Cabernet Sauvignon,Alpha Omega,California,US,38.47070948,-122.4284246
125,97,Sangiovese,Altesino,Tuscany,Italy,43.10272554,11.49138268
115,97,Red Blend,Antinori,Tuscany,Italy,43.61275733,11.19130707
90,97,Pinot Noir,Arista,California,US,38.52421475,-122.8679891
120,97,Bordeaux-style Red Blend,Arkenstone,California,US,38.56499553,-122.463911
250,97,Cabernet Sauvignon,Au Sommet,California,US,38.44352341,-122.2425097
170,97,White Blend,Avignonesi,Tuscany,Italy,43.17419131,11.93445678
55,97,Cabernet Sauvignon,Betz Family,Washington,US,47.71924333,-122.1314005
60,97,Cabernet Sauvignon,Betz Family,Washington,US,47.71924333,-122.1314005
68,97,Cabernet Sauvignon,Betz Family,Washington,US,47.71924333,-122.1314005
85,97,Cabernet Sauvignon,Black Coyote,California,US,38.31977903,-122.2256801
90,97,Bordeaux-style Red Blend,Blackbird Vineyards,California,US,38.29946003,-122.2806237
120,97,Malbec,Bodega Catena Zapata,Mendoza Province,Argentina,-33.16668614,-68.9024718
88,97,Monastrell,Bodegas Guti�rrez de la Vega,Levante,Spain,39.6824,2.7168
250,97,Tempranillo,Bodegas Roda,Northern Spain,Spain,42.585859,-2.843271134
260,97,Champagne Blend,Bollinger,Champagne,France,49.07818462,3.9650023
275,97,Bordeaux-style Red Blend,BOND,California,US,38.5109751,-122.400027
55,97,Red Blend,Buty,Washington,US,46.08780245,-118.2698039
85,97,Muscat,Campbells,Victoria,Australia,-36.0608846,146.4359125
97,97,Muscat,Campbells,Victoria,Australia,-36.0608846,146.4359125
85,97,Tokay,Campbells,Victoria,Australia,-36.0608846,146.4359125
55,97,Sangiovese Grosso,Capanna,Tuscany,Italy,43.9834924,11.33687136
250,97,Cabernet Sauvignon,Cardinale,California,US,38.92189815,-119.2958656
79,97,Sangiovese Grosso,Casanova di Neri,Tuscany,Italy,43.0579881,11.52638883
80,97,Sangiovese Grosso,Casanova di Neri,Tuscany,Italy,43.0579881,11.52638883
180,97,Merlot,Castello di Ama,Tuscany,Italy,43.44227222,11.38822241
130,97,Cabernet Sauvignon,Caymus,California,US,38.47039817,-122.3943474
136,97,Cabernet Sauvignon,Caymus,California,US,38.47039817,-122.3943474
80,97,Cabernet Sauvignon,Cayuse,Oregon,US,45.96229531,-118.4233261
70,97,Syrah,Cayuse,Oregon,US,45.96229531,-118.4233261
85,97,Syrah,Cayuse,Oregon,US,45.96229531,-118.4233261
145,97,Bordeaux-style Red Blend,ChÃ¢teau Cos d'Estournel,Bordeaux,France,45.2315,-0.7727
90,97,Bordeaux-style Red Blend,ChÃ¢teau Figeac,Bordeaux,France,44.9135,-0.1903
330,97,Bordeaux-style Red Blend,ChÃ¢teau Haut-Brion,Bordeaux,France,44.8117,-0.5964
1100,97,Bordeaux-style Red Blend,ChÃ¢teau La Mission Haut-Brion,Bordeaux,France,44.8169,-0.6057
698,97,Bordeaux-style White Blend,ChÃ¢teau La Mission Haut-Brion,Bordeaux,France,44.8169,-0.6057
150,97,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Las Cases,Bordeaux,France,45.1647,-0.7378
190,97,Bordeaux-style Red Blend,ChÃ¢teau LÃ©oville Las Cases,Bordeaux,France,45.1647,-0.7378
345,97,Bordeaux-style Red Blend,ChÃ¢teau Lafite Rothschild,Bordeaux,France,45.2258,-0.7716
660,97,Bordeaux-style Red Blend,ChÃ¢teau Latour,Bordeaux,France,42.7678,2.6601
300,97,Bordeaux-style Red Blend,ChÃ¢teau Margaux,Bordeaux,France,45.0460,-0.6634
450,97,Bordeaux-style Red Blend,ChÃ¢teau Margaux,Bordeaux,France,45.0460,-0.6634
90,97,Bordeaux-style White Blend,ChÃ¢teau Suduiraut,Bordeaux,France,44.5569,-0.3174
170,97,Bordeaux-style Red Blend,ChÃ¢teau Troplong Mondot,Bordeaux,France,44.8901,-0.1394
300,97,Muscadel,Chambers Rosewood Vineyards,Victoria,Australia,-36.04395429,146.4518399
120,97,Syrah,Charles Smith,Washington,US,47.6927088,-121.889555
85,97,Pinot Noir,Cobb,California,US,38.39782588,-122.9956279
140,97,Bordeaux-style Red Blend,Continuum,California,US,38.48371951,-122.3516986
175,97,Cabernet Sauvignon,Diamond Creek,California,US,38.56564614,-122.5717237
281,97,Pinot Noir,Domaine Bruno Clair,Burgundy,France,47.27268571,4.992398316
100,97,Bordeaux-style White Blend,Domaine de Chevalier,Bordeaux,France,44.72051243,-0.62955804
96,97,Syrah,Domaine Jamet,RhÃ´ne Valley,France,45.51654152,4.795032606
410,97,Chardonnay,Domaine Leflaive,Burgundy,France,46.38243825,4.800586439
430,97,Chardonnay,Domaine Leflaive,Burgundy,France,46.38243825,4.800586439
451,97,Chardonnay,Domaine Leflaive,Burgundy,France,46.38243825,4.800586439
550,97,Chardonnay,Domaine Leflaive,Burgundy,France,46.38243825,4.800586439
574,97,Chardonnay,Domaine Leflaive,Burgundy,France,46.38243825,4.800586439
269,97,Pinot Gris,Domaine Zind-Humbrecht,Alsace,France,48.08431564,7.297189002
250,97,Riesling,Dr. Pauly Bergweiler,Mosel-Saar-Ruwer,Germany,49.9153787,7.076114103
50,97,Chardonnay,Dutton-Goldfield,California,US,38.43796177,-122.8546855
150,97,Tinto Fino,Emilio Moro,Northern Spain,Spain,41.643583,-4.148166242
180,97,Tinto Fino,Emilio Moro,Northern Spain,Spain,41.643583,-4.148166242
42,97,Chardonnay,Failla,California,US,38.54902401,-122.4887117
60,97,Pinot Noir,Failla,California,US,38.54902401,-122.4887117
70,97,Pinot Noir,Failla,California,US,38.54902401,-122.4887117
100,97,Merlot,Fattoria Petrolo,Tuscany,Italy,43.47147682,11.57255227
70,97,Chardonnay,Flowers,California,US,38.56495179,-122.8705598
210,97,Nebbiolo,Gaja,Piedmont,Italy,44.72612919,8.081014048
215,97,Nebbiolo,Gaja,Piedmont,Italy,44.72612919,8.081014048
190,97,Cabernet Sauvignon,Gandona,California,US,38.48365694,-122.3542277
245,97,Riesling,Geh. Rat Dr. von Bassermann-Jordan,Pfalz,Germany,49.40865649,8.187311218
75,97,Pinot Noir,Goldeneye,California,US,39.05830256,-123.4301938
85,97,Cabernet Sauvignon,Goldschmidt,California,US,38.67399686,-122.9228972
